Drug1,Drug2,Prob,SimilaritySource,Method
DB01264,C0032000,0.9873,HPO,BLM
DB00710,C0003855,0.9873,HPO,BLM
DB06663,C0003855,0.9873,HPO,BLM
DB00316,C0028866,0.9872,HPO,BLM
DB00876,C0015402,0.9871,HPO,BLM
DB00370,C1096267,0.987,UMLS,BLM
DB01117,C0019064,0.987,HPO,BLM
DB00836,C0003855,0.987,HPO,BLM
DB00571,C0007177,0.9869,UMLS,BLM
DB00370,C3160769,0.9868,UMLS,BLM
DB01220,C0019064,0.9868,HPO,BLM
DB00932,C0003855,0.9867,HPO,BLM
DB01244,C0019064,0.9866,HPO,BLM
DB00753,C0002792,0.9866,HPO,LapRLS
DB01076,C0005695,0.9865,HPO,BLM
DB00530,C0003855,0.9865,HPO,BLM
DB00900,C0019064,0.9865,HPO,BLM
DB00630,C0162119,0.9864,HPO,BLM
DB06698,C0015402,0.9864,HPO,BLM
DB02638,C0042345,0.9863,UMLS,BLM
DB01250,C0019064,0.9861,HPO,BLM
DB00932,C0019064,0.986,HPO,BLM
DB00370,C1696110,0.986,UMLS,BLM
DB01609,C0024117,0.9857,HPO,BLM
DB00297,C0003855,0.9856,HPO,BLM
DB00881,C0151699,0.9856,HPO,BLM
DB01177,C0151699,0.9854,HPO,BLM
DB06792,C0151699,0.9854,HPO,BLM
DB01018,C0032000,0.9853,HPO,BLM
DB00602,C1384606,0.9852,HPO,BLM
DB00602,C0019064,0.9852,HPO,BLM
DB00370,C1536080,0.9851,UMLS,BLM
DB00597,C0010072,0.9851,UMLS,BLM
DB01079,C0151699,0.9849,HPO,BLM
DB00602,C0003855,0.9849,HPO,BLM
DB01232,C0019064,0.9849,HPO,BLM
DB00331,C0151699,0.9848,HPO,BLM
DB00254,C0029089,0.9848,HPO,BLM
DB01609,C0019064,0.9847,HPO,BLM
DB01240,C0003855,0.9847,HPO,BLM
DB09101,C0151699,0.9847,HPO,BLM
DB00630,C0017565,0.9846,HPO,BLM
DB01232,C0003855,0.9846,HPO,BLM
DB00503,C0019064,0.9845,HPO,BLM
DB01079,C0003855,0.9845,HPO,BLM
DB01250,C0003855,0.9844,HPO,BLM
DB01076,C0015402,0.9844,HPO,BLM
DB01254,C0032000,0.9844,HPO,BLM
DB00836,C0015402,0.9843,HPO,BLM
DB01068,C0019064,0.9840000000000001,HPO,BLM
DB00571,C0019064,0.9840000000000001,UMLS,BLM
DB00489,C0005695,0.9839,HPO,BLM
DB06698,C0162119,0.9839,HPO,BLM
DB00633,C0019064,0.9839,HPO,BLM
DB00746,C0003855,0.9839,HPO,BLM
DB01204,C0003855,0.9839,HPO,BLM
DB00492,C0003855,0.9839,HPO,BLM
DB00489,C1384606,0.9838,UMLS,BLM
DB00560,C0003855,0.9837,HPO,BLM
DB00787,C0019064,0.9837,HPO,BLM
DB00630,C0019064,0.9836,HPO,BLM
DB00297,C0019064,0.9836,HPO,BLM
DB00294,C0019064,0.9833,HPO,BLM
DB00381,C0151699,0.9832,HPO,BLM
DB01280,C0029089,0.9831,HPO,BLM
DB01083,C0005695,0.9831,HPO,BLM
DB00492,C0019064,0.983,HPO,BLM
DB00583,C0019064,0.983,HPO,BLM
DB01008,C0003855,0.9829,HPO,BLM
DB09101,C0015402,0.9829,HPO,BLM
DB00560,C0151701,0.9829,UMLS,BLM
DB01609,C0003855,0.9828,HPO,BLM
DB00349,C0019064,0.9827,HPO,BLM
