Drug1,Drug2,Prob,SimilaritySource,Method
DB01262,C0030305,0.5695,HPO,BLM
DB00537,C0019064,0.5695,UMLS,BLM
DB00836,C0020456,0.5695,HPO,BLM
DB00316,C0085631,0.5695,HPO,BLM
DB00997,C0009676,0.5695,HPO,BLM
DB00630,C0030196,0.5695,HPO,BLM
DB00722,C0009938,0.5695,UMLS,BLM
DB01220,C0030196,0.5695,HPO,BLM
DB11180,C0029408,0.5695,HPO,BLM
DB00491,C0231686,0.5695,HPO,BLM
DB01079,C0012569,0.5695,HPO,BLM
DB00580,C0037299,0.5694,HPO,BLM
DB01250,C0041834,0.5694,HPO,BLM
DB06663,C3665347,0.5694,HPO,BLM
DB00268,C0271412,0.5694,UMLS,BLM
DB00876,C0026821,0.5694,HPO,BLM
DB01177,C0151786,0.5693,HPO,BLM
DB01142,C0019064,0.5693,UMLS,BLM
DB00419,C0042023,0.5693,HPO,BLM
DB00571,C0040264,0.5693,HPO,BLM
DB00252,C0009938,0.5692,UMLS,BLM
DB06698,C0085605,0.5692,HPO,BLM
DB01220,C0040264,0.5692,HPO,BLM
DB00580,C0011168,0.5692,HPO,BLM
DB00975,C0020625,0.5691,HPO,BLM
DB00619,C0010072,0.5691,UMLS,BLM
DB00246,C0549622,0.5691,UMLS,BLM
DB06809,C0011606,0.5691,HPO,BLM
DB06698,C0018418,0.569,HPO,BLM
DB00224,C0020580,0.569,HPO,BLM
DB01083,C0020580,0.569,HPO,BLM
DB01250,C0030305,0.569,HPO,BLM
DB00545,C0020453,0.569,HPO,BLM
DB01104,C0009492,0.5689,UMLS,BLM
DB09101,C0032285,0.5689,HPO,BLM
DB00969,C3665347,0.5689,HPO,BLM
DB00700,C0013384,0.5689,HPO,BLM
DB06616,C0042023,0.5689,HPO,BLM
DB01079,C0041834,0.5689,HPO,BLM
DB01043,C0003855,0.5688,HPO,BLM
DB01250,C0019079,0.5688,UMLS,BLM
DB00560,C0030196,0.5688,UMLS,BLM
DB00693,C0013428,0.5688,HPO,BLM
DB00419,C0267373,0.5688,HPO,BLM
DB00709,C0242350,0.5688,HPO,BLM
DB06769,C3665347,0.5688,HPO,BLM
DB00519,C0032285,0.5687,HPO,BLM
DB06791,C0042023,0.5687,HPO,BLM
DB01280,C0085649,0.5687,HPO,BLM
DB08860,C0040264,0.5687,HPO,BLM
DB06403,C0001824,0.5687,HPO,BLM
DB00296,C0032285,0.5687,HPO,BLM
DB00554,C0040264,0.5686,HPO,BLM
DB01609,C0041834,0.5686,HPO,BLM
DB00658,C0004134,0.5686,HPO,BLM
DB01220,C0001824,0.5686,HPO,BLM
DB01224,C0271412,0.5686,UMLS,BLM
DB00734,C0151705,0.5686,UMLS,BLM
DB00949,C0041657,0.5686,HPO,BLM
DB00811,C0018926,0.5686,UMLS,BLM
DB00370,C0009450,0.5685,UMLS,BLM
DB00334,C0028866,0.5685,UMLS,BLM
DB00207,C0242350,0.5685,HPO,BLM
DB01008,C0040264,0.5685,HPO,BLM
DB00215,C0151699,0.5685,UMLS,BLM
DB00806,C0020625,0.5684,HPO,BLM
DB00916,C0011570,0.5684,UMLS,BLM
DB00476,C0239293,0.5684,UMLS,BLM
DB00836,C0020651,0.5684,HPO,BLM
DB01079,C0151786,0.5684,HPO,BLM
DB00580,C0030312,0.5683,HPO,BLM
DB00580,C0020651,0.5683,HPO,BLM
DB01222,C0002170,0.5683,HPO,BLM
DB00630,C3665347,0.5683,HPO,BLM
DB01232,C0006277,0.5683,HPO,BLM
DB00426,C3665347,0.5683,HPO,BLM
DB06698,C0011603,0.5683,UMLS,LapRLS
DB00331,C0043094,0.5682,HPO,BLM
DB00715,C0019065,0.5682,UMLS,BLM
DB00315,C0019064,0.5682,UMLS,BLM
DB01628,C0020625,0.5682,HPO,BLM
DB01008,C0030305,0.5682,HPO,BLM
DB01029,C0344232,0.5682,HPO,BLM
DB00204,C0242350,0.5682,HPO,BLM
DB00720,C0232461,0.5682,HPO,LapRLS
DB00597,C0020517,0.5681,UMLS,LapRLS
DB01273,C0003855,0.5681,HPO,BLM
DB00975,C0022346,0.5681,HPO,BLM
DB00746,C0026821,0.5681,HPO,BLM
DB00746,C0001824,0.5681,HPO,BLM
DB00715,C0035126,0.5681,UMLS,BLM
DB00661,C0003855,0.5681,HPO,BLM
DB00836,C0043094,0.5681,HPO,BLM
DB01224,C0002170,0.5681,HPO,BLM
DB11180,C0019079,0.568,UMLS,BLM
DB09101,C0022346,0.568,HPO,BLM
DB00297,C0030305,0.568,HPO,BLM
DB00492,C0001824,0.568,HPO,BLM
DB00843,C0151735,0.5679,UMLS,BLM
DB04485,C0040264,0.5679,HPO,BLM
DB00224,C0162835,0.5679,HPO,BLM
DB00355,C0020621,0.5679,HPO,BLM
DB00747,C0013384,0.5679,UMLS,BLM
DB00969,C0032285,0.5679,HPO,BLM
DB01241,C0032285,0.5678,HPO,BLM
DB01609,C0232462,0.5678,HPO,BLM
DB00494,C0013595,0.5678,HPO,BLM
DB00507,C0042023,0.5678,HPO,BLM
DB00537,C0853225,0.5678,UMLS,BLM
DB00425,C0019065,0.5678,UMLS,BLM
DB01609,C3665347,0.5677,HPO,BLM
DB00478,C0033975,0.5677,HPO,BLM
DB00472,C1384606,0.5677,HPO,BLM
DB06769,C0019572,0.5677,HPO,BLM
DB00747,C0542571,0.5677,UMLS,BLM
DB00884,C0036572,0.5676,HPO,BLM
DB01280,C0019158,0.5676,HPO,BLM
DB00962,C0029089,0.5676,HPO,BLM
DB00482,C3665386,0.5676,HPO,BLM
DB09220,C0338480,0.5676,HPO,GIP
DB00381,C0002962,0.5675,HPO,BLM
DB00918,C0004096,0.5675,UMLS,BLM
DB01073,C0242350,0.5675,HPO,BLM
DB00658,C0026821,0.5675,HPO,BLM
DB00297,C0029408,0.5675,HPO,BLM
DB09065,C0003864,0.5675,HPO,BLM
DB00881,C0014457,0.5675,HPO,BLM
DB00884,C0020580,0.5675,HPO,BLM
DB00254,C0020456,0.5675,HPO,BLM
DB00343,C0039070,0.5674,HPO,BLM
DB00806,C0013428,0.5674,HPO,BLM
DB00658,C0020580,0.5674,HPO,BLM
DB06589,C0011849,0.5674,HPO,BLM
DB00709,C0013428,0.5674,HPO,BLM
DB00332,C0028734,0.5673,HPO,BLM
DB01177,C0014457,0.5673,HPO,BLM
DB00996,C1510412,0.5673,UMLS,BLM
DB00788,C0003862,0.5673,HPO,BLM
DB00762,C0242350,0.5673,HPO,BLM
DB01008,C0006277,0.5673,HPO,BLM
DB00622,C0010072,0.5672,UMLS,BLM
DB06809,C0004134,0.5672,HPO,BLM
DB00362,C0013604,0.5672,HPO,BLM
DB01129,C0020456,0.5672,HPO,BLM
DB01262,C0242350,0.5672,HPO,BLM
DB01046,C0041834,0.5672,HPO,BLM
DB00188,C0151735,0.5672,UMLS,BLM
DB04854,C0030196,0.5671,HPO,BLM
DB00697,C0267596,0.5671,UMLS,BLM
DB00836,C0030312,0.5671,HPO,BLM
DB04485,C0013428,0.5671,HPO,BLM
DB00906,C0009938,0.5670000000000001,UMLS,BLM
DB00918,C0038362,0.5670000000000001,UMLS,BLM
DB00928,C0267596,0.5670000000000001,UMLS,BLM
DB06215,C0030305,0.5670000000000001,HPO,BLM
DB01232,C0040264,0.5670000000000001,HPO,BLM
DB01083,C0085631,0.5670000000000001,HPO,BLM
DB00193,C0242429,0.5669,UMLS,BLM
DB00285,C0032001,0.5669,UMLS,BLM
DB00482,C0232462,0.5669,HPO,BLM
DB04845,C0001824,0.5669,HPO,BLM
DB00341,C0428977,0.5669,HPO,BLM
DB00297,C0020621,0.5669,HPO,BLM
DB01250,C0242350,0.5668,HPO,BLM
DB00198,C0040264,0.5668,HPO,BLM
DB01104,C0019065,0.5668,UMLS,BLM
DB00480,C0015402,0.5667,UMLS,BLM
DB00836,C0152029,0.5667,UMLS,BLM
DB01177,C0151786,0.5667,UMLS,BLM
DB00806,C3665347,0.5667,HPO,BLM
DB00492,C0013428,0.5667,HPO,BLM
DB00175,C0085649,0.5667,HPO,BLM
DB00492,C3665347,0.5666,HPO,BLM
DB01060,C0013428,0.5666,HPO,BLM
DB00962,C0003855,0.5666,HPO,BLM
DB00876,C0030196,0.5666,HPO,BLM
DB04835,C0013428,0.5666,HPO,BLM
DB00346,C0001824,0.5666,HPO,BLM
DB00740,C0009492,0.5665,UMLS,BLM
DB06436,C0017675,0.5665,HPO,BLM
DB00193,C0853225,0.5665,UMLS,BLM
DB06769,C0006277,0.5665,HPO,BLM
DB00659,C0085649,0.5665,HPO,BLM
DB00806,C0020456,0.5665,HPO,BLM
DB00520,C0018944,0.5665,UMLS,BLM
DB01008,C0001824,0.5664,HPO,BLM
DB00196,C0005695,0.5664,UMLS,BLM
DB04485,C0020456,0.5664,HPO,BLM
DB00224,C0006277,0.5664,HPO,BLM
DB00887,C0001824,0.5663,HPO,BLM
DB00425,C0003855,0.5663,HPO,BLM
DB00619,C0017565,0.5663,UMLS,BLM
DB01200,C0035078,0.5663,UMLS,BLM
DB08860,C0020621,0.5662,HPO,BLM
DB00480,C0151705,0.5661,UMLS,BLM
DB00296,C0030305,0.5661,HPO,BLM
DB06261,C0012833,0.5661,UMLS,LapRLS
DB00658,C0015397,0.5661,HPO,BLM
DB00720,C0009676,0.5660000000000001,HPO,LapRLS
DB00188,C0239783,0.5660000000000001,UMLS,BLM
DB01409,C0020621,0.5660000000000001,HPO,BLM
DB00530,C0149514,0.5660000000000001,HPO,BLM
DB00916,C0030305,0.5660000000000001,HPO,BLM
DB01254,C0242350,0.5660000000000001,HPO,BLM
DB00230,C0426747,0.5660000000000001,UMLS,BLM
DB01340,C0010692,0.5660000000000001,UMLS,BLM
DB00989,C0853891,0.5660000000000001,UMLS,BLM
DB00244,C0019079,0.5660000000000001,UMLS,BLM
DB00969,C0030305,0.5659,HPO,BLM
DB00715,C0019064,0.5659,UMLS,BLM
DB01254,C0019064,0.5659,UMLS,BLM
DB00334,C0009492,0.5659,UMLS,BLM
DB00216,C0019158,0.5658,HPO,BLM
DB00316,C0029442,0.5658,HPO,BLM
DB00296,C0041834,0.5658,HPO,BLM
DB01186,C0235431,0.5658,UMLS,BLM
DB00297,C0032285,0.5657,HPO,BLM
DB01079,C0020456,0.5657,HPO,BLM
DB00969,C0085605,0.5657,HPO,BLM
DB08911,C0242350,0.5657,HPO,BLM
DB00399,C0239783,0.5657,UMLS,BLM
DB00491,C0029408,0.5657,HPO,BLM
DB06772,C0001824,0.5657,HPO,BLM
DB00323,C0018500,0.5657,UMLS,BLM
DB09065,C0040264,0.5656,HPO,BLM
DB01280,C3665347,0.5656,HPO,BLM
DB06769,C0013144,0.5656,HPO,BLM
DB00560,C0009763,0.5656,UMLS,BLM
DB04835,C0020621,0.5656,HPO,BLM
DB00426,C0020625,0.5656,HPO,BLM
DB04854,C0151786,0.5656,HPO,BLM
DB00297,C3665347,0.5656,HPO,BLM
DB00932,C0023530,0.5656,HPO,BLM
DB00230,C0151701,0.5655,UMLS,BLM
DB00184,C0029408,0.5655,HPO,BLM
DB04854,C0019572,0.5655,HPO,BLM
DB00419,C0020651,0.5655,HPO,BLM
DB00928,C0040264,0.5655,HPO,BLM
DB00439,C0020651,0.5655,HPO,BLM
DB06663,C0242350,0.5655,HPO,BLM
DB01014,C0040264,0.5655,HPO,BLM
DB00476,C0496901,0.5655,UMLS,BLM
DB06698,C0021359,0.5655,HPO,BLM
DB00989,C0030794,0.5655,UMLS,BLM
DB00770,C0040264,0.5654,HPO,BLM
DB01004,C3665347,0.5654,HPO,BLM
DB00317,C0011168,0.5654,HPO,BLM
DB09101,C0020625,0.5654,HPO,BLM
DB01220,C0020546,0.5654,HPO,BLM
DB04845,C0017675,0.5654,HPO,BLM
DB08820,C0013428,0.5653,HPO,BLM
DB00104,C0344232,0.5653,HPO,BLM
DB08873,C0151705,0.5653,UMLS,BLM
DB00864,C0019064,0.5653,UMLS,BLM
DB00659,C0013604,0.5652,HPO,LapRLS
DB00465,C0019079,0.5652,UMLS,BLM
DB00316,C0041657,0.5652,HPO,LapRLS
DB00014,C0041834,0.5652,HPO,BLM
DB00175,C0033975,0.5652,HPO,BLM
DB06769,C0042023,0.5652,HPO,BLM
DB00244,C0151701,0.5652,UMLS,BLM
DB01118,C0003855,0.5652,HPO,BLM
DB04868,C0019079,0.5651,UMLS,BLM
DB06698,C0030305,0.5651,HPO,BLM
DB00489,C0041834,0.5651,HPO,BLM
DB00658,C0020456,0.5651,HPO,BLM
DB00209,C0043094,0.5651,HPO,BLM
DB00887,C0020580,0.5651,HPO,BLM
DB01011,C0700590,0.565,HPO,BLM
DB00715,C0010072,0.565,UMLS,BLM
DB12091,C3665347,0.565,HPO,BLM
DB01083,C3665347,0.565,HPO,BLM
DB00104,C0006277,0.565,HPO,BLM
DB00659,C0239293,0.5649,UMLS,BLM
DB00278,C0151735,0.5649,UMLS,LapRLS
DB00989,C0271412,0.5649,UMLS,BLM
DB00235,C0042514,0.5649,UMLS,BLM
DB01186,C0043117,0.5649,UMLS,BLM
DB01394,C3263723,0.5649,UMLS,BLM
DB01062,C0039070,0.5649,HPO,BLM
DB01006,C0020580,0.5649,HPO,BLM
DB01280,C0022346,0.5649,HPO,BLM
DB06663,C0040264,0.5649,HPO,BLM
DB00996,C0035126,0.5648,UMLS,BLM
DB00762,C0151905,0.5648,UMLS,BLM
DB00425,C0009492,0.5648,UMLS,BLM
DB01104,C0017565,0.5648,UMLS,BLM
DB01222,C0020580,0.5648,HPO,BLM
DB11180,C0002792,0.5648,UMLS,LapRLS
DB00482,C0013144,0.5648,HPO,BLM
DB00209,C0040264,0.5647,HPO,BLM
DB01167,C0019572,0.5647,HPO,BLM
DB00580,C0042023,0.5647,HPO,BLM
DB08881,C0003855,0.5647,HPO,BLM
DB06698,C0242350,0.5647,HPO,BLM
DB01250,C3665347,0.5647,HPO,BLM
DB06210,C0042023,0.5647,HPO,BLM
DB00480,C0239293,0.5647,UMLS,BLM
DB00130,C0029408,0.5646,HPO,BLM
DB00209,C0344232,0.5646,HPO,BLM
DB01259,C0006277,0.5646,HPO,BLM
DB06703,C0314719,0.5646,UMLS,GIP
DB00684,C0020456,0.5646,HPO,BLM
DB00906,C0003123,0.5646,HPO,BLM
DB01181,C0009492,0.5645,UMLS,BLM
DB01024,C0022346,0.5645,HPO,BLM
DB00419,C0033975,0.5645,HPO,BLM
DB01083,C0242350,0.5645,HPO,BLM
DB00956,C0020621,0.5645,HPO,BLM
DB06155,C0020456,0.5645,HPO,BLM
DB00783,C0009676,0.5645,HPO,BLM
DB00530,C0043094,0.5644,HPO,BLM
DB06261,C0013404,0.5644,HPO,LapRLS
DB00316,C0007134,0.5644,HPO,BLM
DB00953,C0242350,0.5644,HPO,BLM
DB01240,C0239783,0.5644,UMLS,BLM
DB00788,C0267596,0.5644,UMLS,BLM
DB00490,C0019064,0.5644,UMLS,BLM
DB08911,C0040264,0.5644,HPO,BLM
DB00762,C0040264,0.5644,HPO,BLM
DB00209,C0011168,0.5644,HPO,BLM
DB09156,C0042514,0.5643,UMLS,BLM
DB01551,C0043094,0.5643,HPO,BLM
DB00316,C0002994,0.5643,HPO,BLM
DB00633,C0022346,0.5643,HPO,BLM
DB01247,C0574785,0.5642,UMLS,BLM
DB09101,C0042023,0.5642,HPO,BLM
DB11180,C0162429,0.5642,HPO,BLM
DB04485,C0011168,0.5642,HPO,BLM
DB09101,C0013428,0.5642,HPO,BLM
DB00633,C0007177,0.5642,UMLS,BLM
DB09065,C0043094,0.5642,HPO,BLM
DB00928,C0019065,0.5642,UMLS,BLM
DB04845,C3665386,0.5641,HPO,BLM
DB00297,C0040264,0.5641,HPO,BLM
DB01262,C0039070,0.564,HPO,BLM
DB00641,C3665347,0.564,HPO,BLM
DB00328,C0151827,0.564,HPO,BLM
DB00630,C0030312,0.564,HPO,BLM
DB04854,C0042023,0.564,HPO,BLM
DB00659,C0009492,0.564,UMLS,BLM
DB01083,C0003862,0.564,HPO,BLM
DB01043,C0015402,0.5639,HPO,BLM
DB06663,C0032285,0.5639,HPO,BLM
DB06769,C0043094,0.5639,HPO,BLM
DB00491,C0003864,0.5639,HPO,BLM
DB00836,C0026821,0.5639,HPO,BLM
DB00669,C0151699,0.5638,HPO,BLM
DB00297,C0030196,0.5638,HPO,BLM
DB00709,C3665347,0.5638,HPO,BLM
DB00491,C0042023,0.5638,HPO,BLM
DB01046,C0015397,0.5638,HPO,BLM
DB06202,C0005695,0.5638,UMLS,BLM
DB01264,C3665347,0.5638,HPO,BLM
DB00323,C0007177,0.5638,UMLS,BLM
DB06213,C0239783,0.5638,UMLS,BLM
DB00130,C0030196,0.5638,HPO,BLM
DB00633,C0041834,0.5638,HPO,BLM
DB04854,C0014457,0.5638,HPO,BLM
DB01609,C0035410,0.5637,HPO,BLM
DB01079,C0001824,0.5637,HPO,BLM
DB00580,C3665347,0.5637,HPO,BLM
DB00572,C0043094,0.5637,HPO,BLM
DB00857,C0019348,0.5637,UMLS,BLM
DB00950,C0149514,0.5636,HPO,BLM
DB06809,C0020621,0.5636,HPO,BLM
DB00697,C0009676,0.5636,HPO,BLM
DB01001,C0041657,0.5636,HPO,BLM
DB00619,C0034065,0.5636,UMLS,BLM
DB01050,C0853225,0.5636,UMLS,BLM
DB01590,C0009492,0.5635,UMLS,BLM
DB00619,C0702166,0.5635,UMLS,BLM
DB00630,C0151798,0.5635,HPO,BLM
DB00932,C3665347,0.5635,HPO,BLM
DB06769,C0001824,0.5635,HPO,BLM
DB09101,C0020651,0.5635,HPO,BLM
DB00331,C0575081,0.5635,HPO,BLM
DB00507,C0026821,0.5635,HPO,BLM
DB01232,C0020580,0.5634,HPO,BLM
DB00571,C0036572,0.5634,HPO,BLM
DB00602,C0020625,0.5634,HPO,BLM
DB06213,C0242350,0.5634,HPO,BLM
DB01079,C0042023,0.5634,HPO,BLM
DB01059,C0041912,0.5633,UMLS,BLM
DB00884,C0242350,0.5633,HPO,BLM
DB00492,C0003864,0.5633,HPO,BLM
DB00537,C0003855,0.5633,HPO,BLM
DB01409,C0015397,0.5633,HPO,BLM
DB01112,C0042023,0.5633,HPO,BLM
DB01551,C0020456,0.5633,HPO,BLM
DB06698,C0042023,0.5633,HPO,BLM
DB00399,C0040264,0.5633,HPO,BLM
DB00293,C0151786,0.5632,HPO,BLM
DB00806,C0043094,0.5632,HPO,BLM
DB00811,C0010072,0.5632,UMLS,BLM
DB00130,C0020580,0.5632,HPO,BLM
DB04835,C0085605,0.5631,HPO,BLM
DB00659,C0003862,0.5631,HPO,BLM
DB00465,C0015402,0.5631,HPO,BLM
DB00996,C0017181,0.5631,UMLS,BLM
DB00316,C0030196,0.5631,HPO,BLM
DB00431,C0009676,0.5631,HPO,LapRLS
DB00207,C0006277,0.5631,HPO,BLM
DB01117,C0006277,0.5631,HPO,BLM
DB00478,C0020517,0.563,UMLS,LapRLS
DB01222,C0030196,0.563,HPO,BLM
DB00580,C0014457,0.563,HPO,BLM
DB00465,C0003855,0.563,HPO,BLM
DB01043,C0013604,0.563,HPO,BLM
DB06213,C0006277,0.563,HPO,BLM
DB09101,C0011168,0.563,HPO,BLM
DB01181,C0019064,0.563,UMLS,BLM
DB00469,C0151735,0.563,UMLS,BLM
DB00104,C0242350,0.5629,HPO,BLM
DB01030,C0242350,0.5629,HPO,BLM
DB00624,C0003855,0.5629,HPO,BLM
DB00564,C0009938,0.5628,UMLS,BLM
DB00836,C0011175,0.5628,HPO,BLM
DB00928,C0020625,0.5628,HPO,BLM
DB00998,C0239783,0.5628,UMLS,BLM
DB00674,C0853225,0.5628,UMLS,BLM
DB13919,C0576995,0.5628,UMLS,BLM
DB00489,C0020456,0.5628,UMLS,BLM
DB01142,C0030305,0.5628,HPO,BLM
DB13868,C0011168,0.5628,HPO,BLM
DB00969,C0022346,0.5628,HPO,BLM
DB00928,C0018926,0.5627,UMLS,BLM
DB00242,C0019064,0.5627,UMLS,BLM
DB00857,C0035455,0.5627,UMLS,BLM
DB00422,C0042514,0.5627,UMLS,BLM
DB06792,C0542571,0.5627,HPO,BLM
DB06809,C0043094,0.5627,HPO,BLM
DB00316,C0085649,0.5627,HPO,BLM
DB01083,C0041834,0.5627,HPO,BLM
DB01320,C0028866,0.5626,HPO,BLM
DB00331,C0700590,0.5626,HPO,BLM
DB00877,C0040264,0.5626,HPO,BLM
DB00916,C0035078,0.5626,UMLS,BLM
DB01220,C0020625,0.5626,HPO,BLM
DB00215,C0341512,0.5626,UMLS,BLM
DB00537,C0009492,0.5626,UMLS,BLM
DB00316,C0006277,0.5626,HPO,BLM
DB00209,C0151786,0.5626,HPO,BLM
DB01262,C0041657,0.5625,HPO,BLM
DB00316,C3665347,0.5625,HPO,BLM
DB05015,C0040264,0.5625,HPO,BLM
DB00997,C0020456,0.5625,HPO,BLM
DB00381,C0151786,0.5625,HPO,BLM
DB02638,C0267792,0.5625,UMLS,BLM
DB00296,C0041657,0.5624,HPO,BLM
DB04896,C0009938,0.5624,UMLS,BLM
DB00370,C0002994,0.5624,UMLS,BLM
DB00881,C0011175,0.5624,HPO,BLM
DB00555,C0151735,0.5624,UMLS,BLM
DB06288,C0019064,0.5624,UMLS,BLM
DB06792,C0043094,0.5624,HPO,BLM
DB00489,C3665347,0.5624,HPO,BLM
DB11180,C0575081,0.5624,HPO,BLM
DB00806,C0019572,0.5624,HPO,BLM
DB00597,C0030312,0.5623,HPO,BLM
DB01182,C0007177,0.5623,UMLS,BLM
DB00555,C0271412,0.5623,UMLS,BLM
DB00889,C0026821,0.5622,HPO,BLM
DB06213,C0035078,0.5622,UMLS,BLM
DB01129,C0031117,0.5622,UMLS,BLM
DB00316,C0029408,0.5622,HPO,BLM
DB00973,C0020621,0.5622,HPO,BLM
DB00491,C0542571,0.5622,HPO,BLM
DB06616,C0033975,0.5622,HPO,BLM
DB01167,C0009938,0.5622,UMLS,BLM
DB00928,C0030305,0.5621,HPO,BLM
DB00580,C0017152,0.5621,HPO,BLM
DB00349,C0043094,0.5621,HPO,BLM
DB00331,C0042023,0.5621,HPO,BLM
DB01079,C0043094,0.5621,HPO,BLM
DB00624,C0009492,0.5621,UMLS,BLM
DB06772,C0151786,0.5621,HPO,BLM
DB00956,C0020625,0.5621,HPO,BLM
DB00978,C0006277,0.5621,HPO,BLM
DB06698,C0700590,0.5621,HPO,BLM
DB00806,C0042023,0.5621,HPO,BLM
DB01254,C3665347,0.562,HPO,BLM
DB01267,C0009676,0.562,HPO,BLM
DB09065,C0013428,0.562,HPO,BLM
DB00602,C3665347,0.562,HPO,BLM
DB00836,C0151827,0.562,HPO,BLM
DB01101,C0040264,0.562,HPO,BLM
DB00953,C0006277,0.562,HPO,BLM
DB00597,C0006266,0.562,UMLS,BLM
DB00334,C0271412,0.562,UMLS,BLM
DB00836,C0013428,0.5619,HPO,BLM
DB00285,C0151699,0.5619,UMLS,BLM
DB01060,C0042023,0.5619,HPO,BLM
DB01008,C0032285,0.5619,HPO,BLM
DB01242,C0019065,0.5619,UMLS,BLM
DB00996,C0149871,0.5619,UMLS,BLM
DB04868,C0239293,0.5619,UMLS,BLM
DB01104,C0239783,0.5619,UMLS,BLM
DB01267,C0006625,0.5618,HPO,BLM
DB00014,C0151735,0.5618,UMLS,LapRLS
DB01150,C0030312,0.5618,HPO,BLM
DB06769,C0014457,0.5618,HPO,BLM
DB01167,C0242429,0.5618,UMLS,BLM
DB01079,C0014457,0.5618,HPO,BLM
DB06637,C0265294,0.5618,HPO,GIP
DB00554,C0013428,0.5618,HPO,BLM
DB00331,C0242350,0.5618,HPO,BLM
DB00489,C0038325,0.5617,UMLS,BLM
DB00296,C0039070,0.5617,HPO,BLM
DB04485,C0043094,0.5617,HPO,BLM
DB01156,C0003855,0.5617,HPO,BLM
DB01232,C0020625,0.5617,HPO,BLM
DB00932,C0020580,0.5617,HPO,BLM
DB01609,C0003864,0.5617,HPO,BLM
DB00575,C0029408,0.5617,HPO,BLM
DB00177,C0013428,0.5617,HPO,BLM
DB00879,C0001824,0.5616,HPO,BLM
DB00969,C0006277,0.5616,HPO,BLM
DB00440,C0020580,0.5616,HPO,BLM
DB06215,C0032285,0.5616,HPO,BLM
DB00296,C0040264,0.5616,HPO,BLM
DB01097,C0231528,0.5615,HPO,KBMF2K
DB01586,C0040264,0.5615,HPO,BLM
DB00918,C0011168,0.5615,HPO,BLM
DB09065,C0003123,0.5615,HPO,BLM
DB00709,C0011168,0.5615,HPO,BLM
DB00762,C0006277,0.5615,HPO,BLM
DB00489,C0242350,0.5615,HPO,BLM
DB01181,C0162119,0.5615,HPO,BLM
DB00709,C0022346,0.5614,HPO,BLM
DB01367,C0029089,0.5614,HPO,BLM
DB00884,C0022346,0.5614,HPO,BLM
DB00425,C0239293,0.5614,UMLS,BLM
DB00619,C0151699,0.5614,UMLS,BLM
DB02638,C0020433,0.5614,UMLS,BLM
DB09065,C0042023,0.5613,HPO,BLM
DB00572,C0006277,0.5613,HPO,BLM
DB01250,C0043094,0.5613,HPO,BLM
DB01263,C0042023,0.5613,HPO,BLM
DB00836,C0014457,0.5613,HPO,BLM
DB00554,C0014457,0.5613,HPO,BLM
DB00492,C0242350,0.5613,HPO,BLM
DB01220,C0042023,0.5613,HPO,BLM
DB00541,C0043094,0.5613,HPO,BLM
DB13867,C3665347,0.5612,HPO,BLM
DB00669,C0019065,0.5612,UMLS,BLM
DB00789,C0019079,0.5612,UMLS,BLM
DB00996,C0917798,0.5612,UMLS,BLM
DB06698,C0040264,0.5612,HPO,BLM
DB00244,C0338480,0.5611,HPO,GIP
DB00602,C0020621,0.5611,HPO,BLM
DB00419,C0020621,0.5611,HPO,BLM
DB01046,C0242350,0.5611,HPO,BLM
DB04845,C0042023,0.5611,HPO,BLM
DB00997,C0041657,0.5611,HPO,BLM
DB06792,C0042023,0.5611,HPO,BLM
DB00678,C0011168,0.5611,HPO,BLM
DB00209,C0020621,0.561,HPO,BLM
DB00958,C0151937,0.561,HPO,BLM
DB00489,C0042023,0.561,HPO,BLM
DB00297,C0242350,0.561,HPO,BLM
DB00806,C0030196,0.561,HPO,BLM
DB06215,C0020580,0.561,HPO,BLM
DB00715,C0042075,0.561,UMLS,BLM
DB00181,C0009938,0.561,UMLS,BLM
DB01030,C0009938,0.561,UMLS,BLM
DB01320,C0010072,0.5609,UMLS,BLM
DB01232,C0001824,0.5609,HPO,BLM
DB04485,C0042023,0.5609,HPO,BLM
DB00658,C0040264,0.5609,HPO,BLM
DB00343,C0030305,0.5609,HPO,BLM
DB01097,C0242350,0.5609,HPO,BLM
DB00193,C0015402,0.5608,HPO,BLM
DB01181,C0003855,0.5608,HPO,BLM
DB04485,C0020651,0.5608,HPO,BLM
DB00715,C0028866,0.5608,UMLS,BLM
DB01222,C0428977,0.5608,HPO,BLM
DB01609,C0020651,0.5608,HPO,BLM
DB06809,C0020625,0.5608,HPO,BLM
DB00681,C0019079,0.5608,UMLS,BLM
DB00989,C0042075,0.5608,UMLS,BLM
DB00889,C0018802,0.5608,UMLS,BLM
DB00478,C0020651,0.5608,HPO,BLM
DB00659,C0019065,0.5608,UMLS,BLM
DB01590,C0239783,0.5607,UMLS,BLM
DB00323,C0239783,0.5607,UMLS,BLM
DB00193,C0007177,0.5607,UMLS,BLM
DB01059,C0231218,0.5607,UMLS,BLM
DB00783,C0085631,0.5607,HPO,BLM
DB01319,C0026821,0.5607,HPO,BLM
DB00349,C0013428,0.5607,HPO,BLM
DB00294,C0020580,0.5607,HPO,BLM
DB01177,C0236075,0.5606,UMLS,BLM
DB01609,C0242350,0.5606,HPO,BLM
DB00630,C0234133,0.5606,HPO,BLM
DB01609,C0020621,0.5606,HPO,BLM
DB01008,C3665347,0.5606,HPO,BLM
DB00252,C0028866,0.5606,HPO,BLM
