Drug1,Drug2,Prob,Source,Method
DB01472,DB00938,0.6667,CRD,semEP
DB06264,DB04855,0.6667,CRD,semEP
DB01369,DB06264,0.6667,CRD,semEP
DB00754,DB00755,0.6667,CRD,semEP
DB06691,DB01411,0.6667,CRD,semEP
DB00273,DB00191,0.6667,CRD,semEP
DB00751,DB01056,0.6667,CRD,semEP
DB09327,DB01101,0.6667,CRD,semEP
DB00795,DB01233,0.6667,CRD,semEP
DB01244,DB00339,0.6667,CRD,semEP
DB01246,DB01069,0.6667,CRD,semEP
DB00636,DB04861,0.6667,CRD,semEP
DB01241,DB06217,0.6667,CRD,semEP
DB06616,DB01065,0.6667,CRD,semEP
DB00339,DB06204,0.6667,CRD,semEP
DB06594,DB01235,0.6667,CRD,semEP
DB00936,DB06770,0.6667,CRD,semEP
DB00668,DB01064,0.6667,CRD,semEP
DB06264,DB06204,0.6667,CRD,semEP
DB09082,DB01235,0.6667,CRD,semEP
DB00572,DB01562,0.6667,CRD,semEP
DB09235,DB01101,0.6667,CRD,semEP
DB00461,DB01213,0.6667,CRD,semEP
DB01213,DB01587,0.6667,CRD,semEP
DB01241,DB14010,0.6667,CRD,semEP
DB00255,DB04861,0.6667,CRD,semEP
DB01065,DB00699,0.6667,CRD,semEP
DB01170,DB06204,0.6667,CRD,semEP
DB00204,DB06204,0.6667,CRD,semEP
DB00162,DB01708,0.6667,CRD,semEP
DB04920,DB00762,0.6667,NCRD,semEP
DB00436,DB00127,0.6667,NCRD,semEP
DB00788,DB00688,0.6667,NCRD,semEP
DB00316,DB00867,0.6667,NCRD,semEP
DB01072,DB00503,0.6667,NCRD,semEP
DB00788,DB00186,0.6667,NCRD,semEP
DB00316,DB06204,0.6667,NCRD,semEP
DB01241,DB00783,0.6667,NCRD,semEP
DB01033,DB00173,0.6667,NCRD,semEP
DB00620,DB01395,0.6667,NCRD,semEP
DB00224,DB00295,0.6667,NCRD,semEP
DB02509,DB09245,0.6667,NCRD,semEP
DB01234,DB06789,0.6667,WP4,semEP
DB00264,DB03756,0.6667,CRD,semEP
DB00795,DB00316,0.6667,CRD,semEP
DB04911,DB06594,0.6667,CRD,semEP
DB06727,DB01043,0.6667,CRD,semEP
DB00612,DB06594,0.6667,CRD,semEP
DB06594,DB00612,0.6667,CRD,semEP
DB00255,DB01235,0.6667,CRD,semEP
DB06217,DB00255,0.6667,CRD,semEP
DB01064,DB06689,0.6667,CRD,semEP
DB01437,DB00593,0.6667,CRD,semEP
DB06217,DB00339,0.6667,CRD,semEP
DB09224,DB06700,0.6667,CRD,semEP
DB00339,DB01583,0.6667,CRD,semEP
DB06217,DB00520,0.6667,CRD,semEP
DB00636,DB00195,0.6667,CRD,semEP
DB09296,DB06212,0.6667,CRD,semEP
DB09250,DB09224,0.6667,DrugBank,semEP
DB01120,DB00316,0.6667,DrugBank,semEP
DB06204,DB06268,0.6667,DrugBank,semEP
DB00562,DB13532,0.6667,DrugBank,semEP
DB09235,DB11808,0.6667,DrugBank,semEP
DB05271,DB06711,0.6667,DrugBank,semEP
DB00618,DB09093,0.6667,DrugBank,semEP
DB09070,DB13944,0.6667,DrugBank,semEP
DB00328,DB00658,0.6667,DrugBank,semEP
DB09085,DB07615,0.6667,DrugBank,semEP
DB06264,DB00159,0.6667,DrugBank,semEP
DB09288,DB00268,0.6667,DrugBank,semEP
DB11641,DB00636,0.6667,DrugBank,semEP
DB12945,DB01220,0.6667,DrugBank,semEP
DB08626,DB01255,0.6667,DrugBank,semEP
DB01434,DB00996,0.6667,DrugBank,semEP
DB01198,DB00524,0.6667,DrugBank,semEP
DB01297,DB00316,0.6667,DrugBank,semEP
DB09250,DB00338,0.6667,DrugBank,semEP
DB09220,DB01076,0.6667,DrugBank,semEP
DB06695,DB00159,0.6667,DrugBank,semEP
DB01241,DB00159,0.6667,DrugBank,semEP
DB00508,DB00680,0.6667,DrugBank,semEP
DB06717,DB00159,0.6667,DrugBank,semEP
DB08893,DB11587,0.6667,DrugBank,semEP
DB00275,DB09056,0.6667,DrugBank,semEP
DB01064,DB11587,0.6667,DrugBank,semEP
DB03515,DB04870,0.6667,DrugBank,semEP
DB00669,DB06419,0.6667,DrugBank,semEP
DB00457,DB05294,0.6,DrugBank,semEP
DB00390,DB01396,0.6,DrugBank,semEP
DB00590,DB05294,0.6,DrugBank,semEP
DB01608,DB00623,0.6,DrugBank,semEP
DB00511,DB00390,0.6,DrugBank,semEP
DB01127,DB06820,0.6,CRD,semEP
DB06825,DB06791,0.6,DrugBank,semEP
DB01241,DB09251,0.6,DrugBank,semEP
DB06825,DB00104,0.6,DrugBank,semEP
DB05294,DB01162,0.6,DrugBank,semEP
DB09198,DB09243,0.6,DrugBank,semEP
DB11268,DB00390,0.5,DrugBank,semEP
DB01365,DB00937,0.5,DrugBank,semEP
DB00694,DB11575,0.5,DrugBank,semEP
DB00232,DB01324,0.5,DrugBank,semEP
DB06789,DB00700,0.5,DrugBank,semEP
DB06738,DB00514,0.5,DrugBank,semEP
DB06707,DB01235,0.5,DrugBank,semEP
DB00589,DB00247,0.5,DrugBank,semEP
DB11575,DB00921,0.5,DrugBank,semEP
DB01064,DB00268,0.5,DrugBank,semEP
DB12991,DB09065,0.5,DrugBank,semEP
DB00541,DB09243,0.5,DrugBank,semEP
DB00798,DB04263,0.5,DrugBank,semEP
DB09279,DB12131,0.5,DrugBank,semEP
DB01013,DB01130,0.5,DrugBank,semEP
DB06594,DB00612,0.5,DrugBank,semEP
DB00511,DB06693,0.5,DrugBank,semEP
DB03754,DB02703,0.5,DrugBank,semEP
DB09250,DB00857,0.5,DrugBank,semEP
DB13954,DB04573,0.5,DrugBank,semEP
DB01365,DB00999,0.5,DrugBank,semEP
DB09224,DB09056,0.5,DrugBank,semEP
DB11641,DB00541,0.5,DrugBank,semEP
DB06288,DB00604,0.5,DrugBank,semEP
DB00195,DB01319,0.5,DrugBank,semEP
DB09250,DB00408,0.5,DrugBank,semEP
DB01325,DB09243,0.5,DrugBank,semEP
DB00335,DB09072,0.5,DrugBank,semEP
DB06145,DB09309,0.5,DrugBank,semEP
DB01255,DB00217,0.5,DrugBank,semEP
DB13384,DB06264,0.5,DrugBank,semEP
DB11574,DB05109,0.5,DrugBank,semEP
DB00248,DB01547,0.5,DrugBank,semEP
DB06781,DB00288,0.5,DrugBank,semEP
DB00294,DB00717,0.5,DrugBank,semEP
DB01045,DB13314,0.5,DrugBank,semEP
DB08860,DB11712,0.5,DrugBank,semEP
DB00511,DB12843,0.5,DrugBank,semEP
DB11587,DB00867,0.5,DrugBank,semEP
DB09351,DB00159,0.5,DrugBank,semEP
DB00838,DB01260,0.5,DrugBank,semEP
DB11995,DB11575,0.5,DrugBank,semEP
DB00788,DB09072,0.5,DrugBank,semEP
DB11274,DB08930,0.5,DrugBank,semEP
DB00937,DB00181,0.5,DrugBank,semEP
DB06217,DB00281,0.5,DrugBank,semEP
DB01064,DB00765,0.5,DrugBank,semEP
DB13108,DB00865,0.5,DrugBank,semEP
DB11581,DB03756,0.5,DrugBank,semEP
DB11574,DB08980,0.5,DrugBank,semEP
DB00983,DB09352,0.5,DrugBank,semEP
DB00253,DB04652,0.5,DrugBank,semEP
DB00732,DB01226,0.5,DrugBank,semEP
DB09254,DB00735,0.5,DrugBank,semEP
DB01437,DB00255,0.5,DrugBank,semEP
DB09254,DB04872,0.5,DrugBank,semEP
DB11641,DB11363,0.5,DrugBank,semEP
DB06693,DB08871,0.5,DrugBank,semEP
DB01090,DB12752,0.5,DrugBank,semEP
DB09351,DB06616,0.5,DrugBank,semEP
DB01241,DB09351,0.5,DrugBank,semEP
DB00921,DB00745,0.5,DrugBank,semEP
DB05271,DB00217,0.5,DrugBank,semEP
DB09063,DB09027,0.5,DrugBank,semEP
DB00641,DB00755,0.5,DrugBank,semEP
DB00615,DB09288,0.5,DrugBank,semEP
DB00287,DB04870,0.5,DrugBank,semEP
DB00595,DB00759,0.5,DrugBank,semEP
DB00195,DB01297,0.5,DrugBank,semEP
DB01091,DB00857,0.5,DrugBank,semEP
DB11752,DB08871,0.5,DrugBank,semEP
DB00247,DB00327,0.5,DrugBank,semEP
DB01177,DB00997,0.5,DrugBank,semEP
DB00179,DB01472,0.5,DrugBank,semEP
DB09254,DB00857,0.5,DrugBank,semEP
DB01440,DB00788,0.5,DrugBank,semEP
DB01440,DB09352,0.5,DrugBank,semEP
DB06217,DB00316,0.5,DrugBank,semEP
DB00316,DB04836,0.5,DrugBank,semEP
DB09082,DB00938,0.5,DrugBank,semEP
DB01200,DB00309,0.5,DrugBank,semEP
DB00511,DB01092,0.5,DrugBank,semEP
DB13108,DB00867,0.5,DrugBank,semEP
DB01392,DB09243,0.5,DrugBank,semEP
DB01244,DB01440,0.5,DrugBank,semEP
DB00309,DB00762,0.5,DrugBank,semEP
DB00755,DB03754,0.5,DrugBank,semEP
DB09220,DB00254,0.5,DrugBank,semEP
DB00541,DB11712,0.5,DrugBank,semEP
DB00775,DB00612,0.5,DrugBank,semEP
DB06204,DB09477,0.5,DrugBank,semEP
DB08626,DB09072,0.5,DrugBank,semEP
DB05271,DB00765,0.5,DrugBank,semEP
DB06204,DB08952,0.5,DrugBank,semEP
DB01034,DB01189,0.5,DrugBank,semEP
DB00798,DB04729,0.5,DrugBank,semEP
DB01070,DB01028,0.5,DrugBank,semEP
DB01282,DB01348,0.5,DrugBank,semEP
DB00335,DB13530,0.5,DrugBank,semEP
DB09224,DB00159,0.5,DrugBank,semEP
DB13139,DB01001,0.5,DrugBank,semEP
DB00618,DB00759,0.5,DrugBank,semEP
DB01365,DB00735,0.5,DrugBank,semEP
DB00805,DB09027,0.5,DrugBank,semEP
DB11268,DB09351,0.5,DrugBank,semEP
DB00309,DB13345,0.5,DrugBank,semEP
DB01191,DB09250,0.5,DrugBank,semEP
DB11792,DB06725,0.5,DrugBank,semEP
DB11641,DB00361,0.5,DrugBank,semEP
DB01167,DB08942,0.5,DrugBank,semEP
DB00254,DB13314,0.5,DrugBank,semEP
DB01045,DB13650,0.5,DrugBank,semEP
DB09054,DB09072,0.5,DrugBank,semEP
DB00661,DB00159,0.5,DrugBank,semEP
DB12026,DB11799,0.5,DrugBank,semEP
DB00316,DB01400,0.5,DrugBank,semEP
DB01268,DB08822,0.5,DrugBank,semEP
DB00006,DB01241,0.5,DrugBank,semEP
DB01452,DB00976,0.5,DrugBank,semEP
DB06706,DB00996,0.5,DrugBank,semEP
DB04630,DB04652,0.5,DrugBank,semEP
DB01090,DB01226,0.5,DrugBank,semEP
DB01177,DB00762,0.5,DrugBank,semEP
DB05109,DB06441,0.5,DrugBank,semEP
DB09250,DB00181,0.5,DrugBank,semEP
DB00658,DB00244,0.5,DrugBank,semEP
DB12945,DB01497,0.5,DrugBank,semEP
DB00514,DB00652,0.5,DrugBank,semEP
DB00735,DB08059,0.5,DrugBank,semEP
DB01242,DB08996,0.5,DrugBank,semEP
DB01235,DB00135,0.5,WP4,semEP
DB00368,DB01235,0.5,WP4,semEP
DB00668,DB00988,0.5,WP4,semEP
DB00668,DB00135,0.5,WP4,semEP
DB00156,DB00160,0.5,WP4,semEP
DB00156,DB00128,0.5,WP4,semEP
DB00668,DB01235,0.5,WP4,semEP
DB11901,DB06196,0.5,DrugBank,semEP
DB09054,DB06204,0.5,DrugBank,semEP
DB01365,DB09072,0.5,DrugBank,semEP
DB09243,DB00820,0.5,DrugBank,semEP
DB11363,DB00970,0.5,DrugBank,semEP
DB11575,DB05109,0.5,DrugBank,semEP
DB09351,DB00335,0.5,DrugBank,semEP
DB01076,DB13314,0.5,DrugBank,semEP
DB06799,DB09243,0.5,DrugBank,semEP
DB09124,DB00717,0.5,DrugBank,semEP
DB06706,DB04872,0.5,DrugBank,semEP
DB01090,DB00841,0.5,DrugBank,semEP
DB01365,DB00857,0.5,DrugBank,semEP
DB00857,DB09352,0.5,DrugBank,semEP
DB09124,DB00294,0.5,DrugBank,semEP
DB00598,DB00159,0.5,DrugBank,semEP
DB01220,DB01201,0.5,DrugBank,semEP
DB09250,DB00997,0.5,DrugBank,semEP
DB06707,DB00867,0.5,DrugBank,semEP
DB09250,DB01174,0.5,DrugBank,semEP
DB00860,DB00635,0.5,DrugBank,semEP
DB01434,DB02187,0.5,DrugBank,semEP
DB06707,DB12618,0.5,DrugBank,semEP
DB00691,DB00867,0.5,DrugBank,semEP
DB00765,DB00871,0.5,DrugBank,semEP
DB11575,DB00745,0.5,DrugBank,semEP
DB01191,DB00574,0.5,DrugBank,semEP
DB11575,DB12026,0.5,DrugBank,semEP
DB12832,DB06789,0.5,DrugBank,semEP
DB00841,DB00606,0.5,DrugBank,semEP
DB06290,DB13650,0.5,DrugBank,semEP
DB11574,DB06595,0.5,DrugBank,semEP
DB00317,DB00530,0.5,DrugBank,semEP
DB00195,DB08910,0.5,DrugBank,semEP
DB00696,DB13314,0.5,DrugBank,semEP
DB01608,DB01615,0.5,DrugBank,semEP
DB00570,DB13650,0.5,DrugBank,semEP
DB01053,DB01000,0.5,DrugBank,semEP
DB01325,DB00808,0.5,DrugBank,semEP
DB13530,DB01297,0.5,DrugBank,semEP
DB01248,DB09235,0.5,DrugBank,semEP
DB11274,DB11575,0.5,DrugBank,semEP
DB01241,DB01002,0.5,DrugBank,semEP
DB01241,DB00520,0.5,DrugBank,semEP
DB11641,DB00762,0.5,DrugBank,semEP
DB01189,DB09254,0.5,DrugBank,semEP
DB00514,DB00340,0.5,DrugBank,semEP
DB04576,DB00467,0.5,DrugBank,semEP
DB00755,DB00309,0.5,DrugBank,semEP
DB01437,DB00316,0.5,DrugBank,semEP
DB00254,DB00788,0.5,DrugBank,semEP
DB00195,DB13443,0.5,DrugBank,semEP
DB06826,DB01160,0.5,DrugBank,semEP
DB00759,DB09093,0.5,DrugBank,semEP
DB00658,DB00688,0.5,DrugBank,semEP
DB01034,DB06693,0.5,DrugBank,semEP
DB01472,DB12618,0.5,DrugBank,semEP
DB01034,DB00227,0.5,DrugBank,semEP
DB01201,DB13314,0.5,DrugBank,semEP
DB05271,DB00316,0.5,DrugBank,semEP
DB00006,DB00520,0.5,DrugBank,semEP
DB06145,DB01321,0.5,DrugBank,semEP
DB09351,DB01297,0.5,DrugBank,semEP
DB09220,DB01535,0.5,DrugBank,semEP
DB00254,DB01201,0.5,DrugBank,semEP
DB01195,DB01171,0.5,DrugBank,semEP
DB03756,DB01076,0.5,DrugBank,semEP
DB00852,DB11587,0.5,DrugBank,semEP
DB08980,DB00742,0.5,DrugBank,semEP
DB00203,DB00255,0.5,DrugBank,semEP
DB06217,DB00997,0.5,DrugBank,semEP
DB11774,DB01155,0.5,DrugBank,semEP
DB01551,DB01426,0.5,DrugBank,semEP
DB00857,DB00408,0.5,DrugBank,semEP
DB00247,DB00318,0.5,DrugBank,semEP
DB00857,DB09072,0.5,DrugBank,semEP
DB05271,DB01255,0.5,DrugBank,semEP
DB01041,DB05107,0.5,DrugBank,semEP
DB11641,DB01177,0.5,DrugBank,semEP
DB12248,DB00901,0.5,DrugBank,semEP
DB00218,DB08437,0.5,DrugBank,semEP
DB00934,DB00340,0.5,DrugBank,semEP
DB12884,DB08806,0.5,DrugBank,semEP
DB00841,DB01467,0.5,DrugBank,semEP
DB01199,DB12093,0.5,DrugBank,semEP
DB00570,DB00309,0.5,DrugBank,semEP
DB01440,DB00335,0.5,DrugBank,semEP
DB08626,DB09194,0.5,DrugBank,semEP
DB01183,DB01426,0.5,DrugBank,semEP
DB11575,DB11799,0.5,DrugBank,semEP
DB06204,DB00841,0.5,DrugBank,semEP
DB13314,DB00320,0.5,DrugBank,semEP
DB00726,DB01071,0.5,DrugBank,semEP
DB13757,DB00187,0.5,DrugBank,semEP
DB00732,DB12093,0.5,DrugBank,semEP
DB00309,DB00361,0.5,DrugBank,semEP
DB06706,DB00857,0.5,DrugBank,semEP
DB00416,DB01135,0.5,DrugBank,semEP
DB12618,DB00661,0.5,DrugBank,semEP
DB00857,DB06196,0.5,DrugBank,semEP
DB00612,DB01297,0.5,DrugBank,semEP
DB00545,DB01497,0.5,DrugBank,semEP
DB00615,DB01171,0.5,DrugBank,semEP
DB11273,DB01171,0.5,DrugBank,semEP
DB00175,DB00755,0.5,DrugBank,semEP
DB06217,DB01177,0.5,DrugBank,semEP
DB09230,DB09235,0.5,DrugBank,semEP
DB06789,DB01395,0.5,DrugBank,semEP
DB08980,DB06595,0.5,DrugBank,semEP
DB01244,DB00864,0.5,DrugBank,semEP
DB01467,DB01484,0.5,DrugBank,semEP
DB09056,DB01200,0.5,DrugBank,semEP
DB06706,DB06711,0.5,DrugBank,semEP
DB00255,DB00598,0.5,DrugBank,semEP
DB13443,DB00612,0.5,DrugBank,semEP
DB01189,DB00191,0.5,DrugBank,semEP
DB01064,DB09351,0.5,DrugBank,semEP
DB11792,DB13314,0.5,DrugBank,semEP
DB09351,DB00996,0.5,DrugBank,semEP
DB09224,DB00332,0.5,DrugBank,semEP
DB14033,DB09243,0.5,DrugBank,semEP
DB11892,DB09308,0.5,DrugBank,semEP
DB13443,DB00765,0.5,DrugBank,semEP
DB00570,DB09243,0.5,DrugBank,semEP
DB11587,DB01001,0.5,DrugBank,semEP
DB01171,DB00759,0.5,DrugBank,semEP
DB00281,DB09038,0.5,DrugBank,semEP
DB13374,DB01497,0.5,DrugBank,semEP
DB00573,DB00191,0.5,DrugBank,semEP
DB01336,DB01135,0.5,DrugBank,semEP
DB01365,DB12080,0.5,DrugBank,semEP
DB12843,DB00511,0.5,DrugBank,semEP
DB06789,DB11636,0.5,DrugBank,semEP
DB09091,DB00896,0.5,DrugBank,semEP
DB11641,DB00970,0.5,DrugBank,semEP
DB00195,DB00996,0.5,DrugBank,semEP
DB01365,DB00181,0.5,DrugBank,semEP
DB11273,DB00309,0.5,DrugBank,semEP
DB09389,DB00367,0.5,DrugBank,semEP
DB01440,DB05107,0.5,DrugBank,semEP
DB05246,DB09065,0.5,DrugBank,semEP
DB12832,DB00700,0.5,DrugBank,semEP
DB09351,DB00264,0.5,DrugBank,semEP
DB06781,DB00588,0.5,DrugBank,semEP
DB01174,DB00217,0.5,DrugBank,semEP
DB06799,DB14033,0.5,DrugBank,semEP
DB00838,DB00846,0.5,DrugBank,semEP
DB00896,DB00741,0.5,DrugBank,semEP
DB09220,DB00997,0.5,DrugBank,semEP
DB01612,DB08980,0.5,DrugBank,semEP
DB09250,DB00414,0.5,DrugBank,semEP
DB12026,DB00570,0.5,DrugBank,semEP
DB06204,DB04836,0.5,DrugBank,semEP
DB09220,DB00615,0.5,DrugBank,semEP
DB01063,DB01615,0.5,DrugBank,semEP
DB01241,DB01233,0.5,DrugBank,semEP
DB06290,DB09308,0.5,DrugBank,semEP
DB01288,DB01001,0.5,DrugBank,semEP
DB05271,DB00570,0.5,DrugBank,semEP
DB04263,DB04729,0.5,DrugBank,semEP
DB09075,DB09027,0.5,DrugBank,semEP
DB11587,DB01288,0.5,DrugBank,semEP
DB06826,DB12789,0.5,DrugBank,semEP
DB00226,DB01201,0.5,DrugBank,semEP
DB00320,DB00501,0.5,DrugBank,semEP
DB00904,DB00969,0.5,DrugBank,semEP
DB00591,DB00288,0.5,DrugBank,semEP
DB09352,DB09072,0.5,DrugBank,semEP
DB01064,DB00408,0.5,DrugBank,semEP
DB06290,DB11892,0.5,DrugBank,semEP
DB01551,DB01183,0.5,DrugBank,semEP
DB00226,DB00254,0.5,DrugBank,semEP
DB01028,DB00153,0.5,DrugBank,semEP
DB01260,DB00846,0.5,DrugBank,semEP
DB00537,DB04576,0.5,DrugBank,semEP
DB01395,DB11636,0.5,DrugBank,semEP
DB11575,DB09297,0.5,DrugBank,semEP
DB00530,DB06616,0.5,DrugBank,semEP
DB01365,DB00264,0.5,DrugBank,semEP
DB11575,DB08930,0.5,DrugBank,semEP
DB01241,DB08910,0.5,DrugBank,semEP
DB11774,DB06695,0.5,DrugBank,semEP
DB12054,DB01186,0.5,DrugBank,semEP
DB00864,DB00159,0.5,DrugBank,semEP
DB00408,DB06711,0.5,DrugBank,semEP
DB04865,DB08437,0.5,DrugBank,semEP
DB04865,DB00218,0.5,DrugBank,semEP
DB00571,DB01297,0.5,DrugBank,semEP
DB12692,DB09065,0.5,DrugBank,semEP
DB01244,DB13314,0.5,DrugBank,semEP
DB06594,DB08996,0.5,DrugBank,semEP
DB11575,DB01183,0.5,DrugBank,semEP
DB08905,DB01134,0.5,DrugBank,semEP
DB01171,DB06763,0.5,DrugBank,semEP
DB01268,DB00796,0.5,DrugBank,semEP
DB01130,DB00421,0.5,DrugBank,semEP
DB01357,DB13952,0.5,DrugBank,semEP
DB01226,DB12093,0.5,DrugBank,semEP
DB00316,DB00636,0.5,DrugBank,semEP
DB00694,DB00570,0.5,DrugBank,semEP
DB00487,DB08972,0.5,DrugBank,semEP
DB00854,DB00514,0.5,DrugBank,semEP
DB09288,DB09093,0.5,DrugBank,semEP
DB09076,DB09224,0.5,DrugBank,semEP
DB09027,DB09243,0.5,DrugBank,semEP
DB05107,DB09072,0.5,DrugBank,semEP
DB00722,DB06204,0.5,DrugBank,semEP
DB01175,DB06264,0.5,DrugBank,semEP
DB00955,DB11512,0.5,DrugBank,semEP
DB12618,DB00217,0.5,DrugBank,semEP
DB05804,DB08905,0.5,DrugBank,semEP
DB12248,DB00871,0.5,DrugBank,semEP
DB08893,DB09085,0.5,DrugBank,semEP
DB01224,DB00316,0.5,DrugBank,semEP
DB00191,DB00797,0.5,DrugBank,semEP
DB11774,DB00309,0.5,DrugBank,semEP
DB00976,DB13650,0.5,DrugBank,semEP
DB00959,DB00635,0.5,DrugBank,semEP
DB11581,DB01076,0.5,DrugBank,semEP
DB00255,DB00783,0.5,DrugBank,semEP
DB00542,DB01535,0.5,DrugBank,semEP
DB13952,DB00287,0.5,DrugBank,semEP
DB00867,DB00268,0.5,DrugBank,semEP
DB00755,DB13345,0.5,DrugBank,semEP
DB00195,DB00159,0.5,DrugBank,semEP
DB13346,DB00983,0.5,DrugBank,semEP
DB12010,DB06711,0.5,DrugBank,semEP
DB01336,DB00416,0.5,DrugBank,semEP
DB06401,DB13783,0.5,DrugBank,semEP
DB00248,DB01565,0.5,DrugBank,semEP
DB09288,DB01400,0.5,DrugBank,semEP
DB00691,DB09224,0.5,DrugBank,semEP
DB01167,DB00554,0.5,DrugBank,semEP
DB01241,DB00611,0.5,DrugBank,semEP
DB00255,DB00688,0.5,DrugBank,semEP
DB00691,DB09056,0.5,DrugBank,semEP
DB00335,DB00316,0.5,DrugBank,semEP
DB01090,DB06594,0.5,DrugBank,semEP
DB01365,DB08952,0.5,DrugBank,semEP
DB13346,DB09251,0.5,DrugBank,semEP
DB09076,DB00159,0.5,DrugBank,semEP
DB00959,DB00755,0.5,DrugBank,semEP
DB06288,DB01195,0.5,DrugBank,semEP
DB00598,DB01565,0.5,DrugBank,semEP
DB00340,DB06594,0.5,DrugBank,semEP
DB11995,DB09297,0.5,DrugBank,semEP
DB00253,DB04630,0.5,DrugBank,semEP
DB11574,DB00820,0.5,DrugBank,semEP
DB06781,DB00591,0.5,DrugBank,semEP
DB00880,DB01365,0.5,DrugBank,semEP
DB00867,DB00765,0.5,DrugBank,semEP
DB05109,DB13929,0.5,DrugBank,semEP
DB01155,DB06695,0.5,DrugBank,semEP
DB01274,DB09352,0.5,DrugBank,semEP
DB01092,DB01396,0.5,DrugBank,semEP
DB05804,DB01134,0.5,DrugBank,semEP
DB12618,DB01235,0.5,DrugBank,semEP
DB00694,DB01183,0.5,DrugBank,semEP
DB00788,DB00217,0.5,DrugBank,semEP
DB08626,DB01440,0.5,DrugBank,semEP
DB01241,DB04861,0.5,DrugBank,semEP
DB09351,DB00636,0.5,DrugBank,semEP
DB13314,DB01263,0.5,DrugBank,semEP
DB00545,DB01452,0.5,DrugBank,semEP
DB01580,DB00775,0.5,DrugBank,semEP
DB00864,DB09243,0.5,DrugBank,semEP
DB00615,DB09093,0.5,DrugBank,semEP
DB01063,DB01608,0.5,DrugBank,semEP
DB00309,DB11616,0.5,DrugBank,semEP
DB13346,DB01274,0.5,DrugBank,semEP
DB00337,DB09243,0.5,DrugBank,semEP
DB00771,DB00332,0.5,DrugBank,semEP
DB00405,DB00745,0.5,DrugBank,semEP
DB09027,DB00976,0.5,DrugBank,semEP
DB12945,DB01186,0.5,DrugBank,semEP
DB00361,DB06689,0.5,DrugBank,semEP
DB00146,DB01028,0.5,DrugBank,semEP
DB11774,DB11616,0.5,DrugBank,semEP
DB00696,DB09056,0.5,DrugBank,semEP
DB01214,DB01241,0.5,DrugBank,semEP
DB01064,DB01467,0.5,DrugBank,semEP
DB09389,DB00717,0.5,DrugBank,semEP
DB00696,DB00501,0.5,DrugBank,semEP
DB09091,DB00741,0.5,DrugBank,semEP
DB01090,DB13314,0.5,DrugBank,semEP
DB01064,DB06616,0.5,DrugBank,semEP
DB12445,DB00658,0.5,DrugBank,semEP
DB09250,DB13530,0.5,DrugBank,semEP
DB13443,DB00316,0.5,DrugBank,semEP
DB01090,DB00409,0.5,DrugBank,semEP
DB00405,DB06413,0.5,DrugBank,semEP
DB01013,DB00421,0.5,DrugBank,semEP
DB00871,DB00901,0.5,DrugBank,semEP
DB00340,DB01235,0.5,DrugBank,semEP
DB01535,DB00542,0.5,DrugBank,semEP
DB00537,DB00467,0.5,DrugBank,semEP
DB06204,DB00976,0.5,DrugBank,semEP
DB00615,DB11273,0.5,DrugBank,semEP
DB07615,DB09243,0.5,DrugBank,semEP
DB12843,DB00390,0.5,DrugBank,semEP
DB05271,DB01365,0.5,DrugBank,semEP
DB04861,DB00316,0.5,DrugBank,semEP
DB00309,DB06689,0.5,DrugBank,semEP
DB09352,DB00573,0.5,DrugBank,semEP
DB12489,DB00820,0.5,DrugBank,semEP
DB00254,DB01017,0.5,DrugBank,semEP
DB11574,DB11575,0.5,DrugBank,semEP
DB08882,DB01244,0.5,DrugBank,semEP
DB00160,DB00128,0.5,WP4,semEP
DB00545,DB01065,0.5,CRD,semEP
DB01611,DB01179,0.5,CRD,semEP
DB01107,DB05246,0.5,CRD,semEP
DB01206,DB00572,0.5,CRD,semEP
DB01056,DB01588,0.5,CRD,semEP
DB01206,DB00754,0.5,CRD,semEP
DB01283,DB00545,0.5,CRD,semEP
DB00323,DB04855,0.5,CRD,semEP
DB01431,DB00476,0.5,CRD,semEP
DB05229,DB05271,0.5,CRD,semEP
DB09555,DB00523,0.5,CRD,semEP
DB09078,DB01274,0.5,CRD,semEP
DB05229,DB04861,0.5,CRD,semEP
DB11274,DB00195,0.5,CRD,semEP
DB01179,DB04844,0.5,CRD,semEP
DB01429,DB00813,0.5,CRD,semEP
DB00755,DB00934,0.5,CRD,semEP
DB06594,DB05229,0.5,CRD,semEP
DB01074,DB00754,0.5,CRD,semEP
DB00323,DB00545,0.5,CRD,semEP
DB01431,DB01303,0.5,CRD,semEP
DB00523,DB00635,0.5,CRD,semEP
DB06727,DB05239,0.5,CRD,semEP
DB09082,DB03128,0.5,CRD,semEP
DB00865,DB00191,0.5,CRD,semEP
DB01136,DB05229,0.5,CRD,semEP
DB01437,DB00794,0.5,CRD,semEP
DB11799,DB01233,0.5,CRD,semEP
DB01246,DB00487,0.5,CRD,semEP
DB00332,DB00788,0.5,CRD,semEP
DB00332,DB06594,0.5,CRD,semEP
DB01611,DB13941,0.5,CRD,semEP
DB13141,DB00577,0.5,CRD,semEP
DB04839,DB00635,0.5,CRD,semEP
DB06820,DB00545,0.5,CRD,semEP
DB01437,DB05246,0.5,CRD,semEP
DB00332,DB00572,0.5,CRD,semEP
DB00162,DB04839,0.5,CRD,semEP
DB06594,DB01218,0.5,CRD,semEP
DB14011,DB05229,0.5,CRD,semEP
DB01056,DB00690,0.5,CRD,semEP
DB01174,DB01437,0.5,CRD,semEP
