Drug1,Drug2,Prob,Source,Method
DB06711,DB08953,0.6667,DrugBank,semEP
DB06204,DB00159,0.6667,DrugBank,semEP
DB01241,DB09072,0.6667,DrugBank,semEP
DB00982,DB00523,0.6667,DrugBank,semEP
DB01583,DB00279,0.6667,DrugBank,semEP
DB00606,DB09215,0.6667,DrugBank,semEP
DB11799,DB06685,0.6667,DrugBank,semEP
DB01090,DB00857,0.6667,DrugBank,semEP
DB06786,DB00838,0.6667,DrugBank,semEP
DB06402,DB01426,0.6667,DrugBank,semEP
DB12692,DB12991,0.6667,DrugBank,semEP
DB01064,DB12618,0.6667,DrugBank,semEP
DB01007,DB01153,0.6667,DrugBank,semEP
DB01268,DB01200,0.6667,DrugBank,semEP
DB01064,DB01235,0.6667,DrugBank,semEP
DB09555,DB00280,0.6667,DrugBank,semEP
DB06826,DB00390,0.6667,DrugBank,semEP
DB01160,DB00159,0.6667,DrugBank,semEP
DB09279,DB01349,0.6667,DrugBank,semEP
DB04825,DB08980,0.6667,DrugBank,semEP
DB11596,DB00650,0.6667,DrugBank,semEP
DB00255,DB08940,0.6667,DrugBank,semEP
DB01087,DB09128,0.6667,DrugBank,semEP
DB00487,DB01059,0.6667,DrugBank,semEP
DB01405,DB00872,0.6667,DrugBank,semEP
DB00232,DB13532,0.6667,DrugBank,semEP
DB01218,DB09072,0.6667,DrugBank,semEP
DB00539,DB06698,0.6667,DrugBank,semEP
DB00248,DB00937,0.6667,DrugBank,semEP
DB00834,DB00951,0.6667,DrugBank,semEP
DB00316,DB09243,0.6667,DrugBank,semEP
DB00275,DB01349,0.6667,DrugBank,semEP
DB00212,DB01497,0.6667,DrugBank,semEP
DB09080,DB00871,0.6667,DrugBank,semEP
DB01259,DB13650,0.6667,DrugBank,semEP
DB11750,DB00596,0.6667,DrugBank,semEP
DB00804,DB09072,0.6667,DrugBank,semEP
DB11792,DB09243,0.6667,DrugBank,semEP
DB01440,DB00501,0.6667,DrugBank,semEP
DB05246,DB08980,0.6667,DrugBank,semEP
DB03756,DB00636,0.6667,DrugBank,semEP
DB13443,DB01297,0.6667,DrugBank,semEP
DB00035,DB06763,0.6667,DrugBank,semEP
DB01189,DB00573,0.6667,DrugBank,semEP
DB06707,DB01255,0.6667,DrugBank,semEP
DB06788,DB00339,0.6667,DrugBank,semEP
DB01244,DB08980,0.6667,DrugBank,semEP
DB09076,DB00934,0.6667,DrugBank,semEP
DB01241,DB07767,0.6667,DrugBank,semEP
DB00630,DB00658,0.6667,DrugBank,semEP
