Drug1,Drug2,Prob,Method
DB01216,C0576093,0.2787,GIP
DB00996,C0587246,0.2779,GIP
DB01181,C0947912,0.2777,GIP
DB00539,C0018916,0.2774,GIP
DB00720,C0027343,0.2765,GIP
DB00847,C0265294,0.2759,GIP
DB04938,C0018916,0.2747,GIP
DB00502,C0546956,0.2744,GIP
DB00727,C0151544,0.2744,GIP
DB05015,C0033893,0.2741,GIP
DB06217,C0018916,0.2737,GIP
DB00316,C0156312,0.2737,GIP
DB00184,C0033893,0.2736,GIP
DB00335,C0587246,0.2733,GIP
DB00658,C0043094,0.272,GIP
DB01189,C0029191,0.2709,GIP
DB01400,C0338480,0.2707,GIP
DB00529,C0029191,0.2694,GIP
DB00949,C0338480,0.2693,GIP
DB00531,C0009088,0.2683,GIP
DB01189,C0037926,0.2682,GIP
DB00373,C0009088,0.2677,GIP
DB00742,C0242350,0.2676,GIP
DB00575,C0009088,0.2676,GIP
DB00927,C0009088,0.2675,GIP
DB06637,C0028081,0.2674,GIP
DB01213,C0032797,0.2673,GIP
DB06204,C0028081,0.2672,GIP
DB01181,C0009088,0.2672,GIP
DB00742,C0156312,0.2672,GIP
DB00539,C0034212,0.2668,GIP
DB00910,C0033893,0.2651,GIP
DB01012,C0576093,0.2631,GIP
DB00633,C0009088,0.2617,GIP
DB00572,C0025312,0.2612,GIP
DB00125,C0026827,0.2609,GIP
DB00983,C0546956,0.2606,GIP
DB06151,C0003855,0.2602,GIP
DB00499,C0576093,0.2588,GIP
DB01189,C0042341,0.2587,GIP
DB04938,C0546956,0.2584,GIP
DB01189,C0033117,0.2581,GIP
DB01367,C0009088,0.258,GIP
DB01046,C0015967,0.2575,GIP
DB00828,C0026827,0.2575,GIP
DB01400,C0265294,0.2572,GIP
DB00331,C0032797,0.2558,GIP
DB00816,C0265294,0.2527,GIP
DB00282,C0265294,0.2524,GIP
DB01189,C0587246,0.2522,GIP
DB06151,C0043094,0.2518,GIP
DB00658,C0028754,0.2516,GIP
DB06151,C0034212,0.2514,GIP
DB01241,C0151544,0.2502,GIP
DB04876,C0009088,0.2491,GIP
DB01019,C0013595,0.249,GIP
DB00882,C0576093,0.2486,GIP
DB01105,C0025312,0.2484,GIP
DB00316,C0043094,0.2477,GIP
DB01043,C0026827,0.2476,GIP
DB01400,C0587246,0.2469,GIP
DB00742,C0029191,0.2467,GIP
DB08864,C0947912,0.2461,GIP
DB00282,C0587246,0.2447,GIP
DB00855,C0043094,0.2443,GIP
DB00583,C1145670,0.244,GIP
DB01036,C0025312,0.2439,GIP
DB00331,C0043094,0.2427,GIP
DB00335,C0028081,0.2427,GIP
DB09076,C0015967,0.2422,GIP
DB00282,C1145670,0.2414,GIP
DB04572,C0027059,0.2413,GIP
DB00816,C0587246,0.2413,GIP
DB00630,C0587246,0.2413,GIP
DB01255,C0032797,0.2412,GIP
DB00395,C0338480,0.24100000000000002,GIP
DB11180,C1145670,0.24100000000000002,GIP
DB01019,C0027059,0.2406,GIP
DB00851,C0015672,0.2404,GIP
DB06809,C0010200,0.24,GIP
DB00851,C0151480,0.2398,GIP
DB01241,C0236000,0.2396,GIP
DB00316,C0085661,0.2392,GIP
DB11180,C0265294,0.2391,GIP
DB00586,C0576093,0.2389,GIP
DB00501,C1145670,0.23800000000000002,GIP
DB01241,C0032797,0.23800000000000002,GIP
DB00181,C0025323,0.2379,GIP
DB00710,C0034212,0.2375,GIP
DB09220,C0013595,0.2372,GIP
DB00788,C0025323,0.2369,GIP
DB00909,C0002792,0.2368,GIP
DB00710,C0033893,0.2367,GIP
DB00878,C0027794,0.23600000000000002,GIP
DB06698,C0033117,0.2359,GIP
DB00658,C0029191,0.2358,GIP
DB01241,C0236024,0.2354,GIP
DB06698,C0043094,0.2352,GIP
DB04871,C0009088,0.2352,GIP
DB00742,C0587246,0.2348,GIP
DB00855,C0026827,0.2341,GIP
DB09041,C0018418,0.2336,GIP
DB09110,C0587246,0.2335,GIP
DB00990,C0947912,0.2332,GIP
DB00529,C0028754,0.233,GIP
DB00927,C2711227,0.2326,GIP
DB00585,C0034212,0.2324,GIP
DB00181,C0013595,0.2322,GIP
DB00281,C0236024,0.2315,GIP
DB00742,C0033117,0.2311,GIP
DB00594,C2711227,0.231,GIP
DB01216,C0015967,0.2308,GIP
DB01393,C0576093,0.2306,GIP
DB00459,C0947912,0.2306,GIP
DB00518,C0015672,0.2301,GIP
DB04871,C0576093,0.23,GIP
DB00379,C0338480,0.2299,GIP
DB01019,C0236000,0.2298,GIP
DB06637,C0029191,0.2298,GIP
DB06410,C0015672,0.2293,GIP
DB01586,C0033578,0.2289,GIP
DB00281,C0037926,0.2287,GIP
DB00518,C2711227,0.228,GIP
DB00531,C0151480,0.2278,GIP
DB01213,C0043094,0.2273,GIP
DB01213,C0037926,0.2265,GIP
DB00316,C0028754,0.2256,GIP
DB00243,C0576093,0.2251,GIP
DB00585,C0003962,0.2244,GIP
DB01241,C0027343,0.2239,GIP
DB00195,C0236000,0.2232,GIP
DB00553,C0034212,0.2228,GIP
DB00731,C0947912,0.2222,GIP
DB01197,C0151529,0.2222,GIP
DB04572,C0027343,0.2222,GIP
DB00518,C0151480,0.222,GIP
DB00572,C0033893,0.2214,GIP
DB00395,C0376358,0.221,GIP
DB01036,C0009088,0.2208,GIP
DB00710,C0151529,0.2208,GIP
DB00654,C0025312,0.2206,GIP
DB00373,C0002792,0.2202,GIP
DB01213,C0027343,0.2201,GIP
DB06711,C0151544,0.2201,GIP
DB00287,C0546956,0.2199,GIP
DB00235,C0151480,0.2199,GIP
DB04953,C2711227,0.2197,GIP
DB00720,C0042341,0.2194,GIP
DB01244,C0947912,0.2192,GIP
DB00335,C0151544,0.2192,GIP
DB00909,C0034212,0.21899999999999997,GIP
DB01189,C0242350,0.2188,GIP
DB00871,C0028081,0.2186,GIP
DB00753,C1145670,0.2185,GIP
DB00983,C0025312,0.2184,GIP
DB00491,C0015672,0.2182,GIP
DB01011,C0151480,0.218,GIP
DB01050,C0027794,0.2173,GIP
DB00472,C0009088,0.2171,GIP
DB00332,C0033893,0.217,GIP
DB01236,C1145670,0.2169,GIP
DB00244,C0236000,0.2168,GIP
DB06261,C0338480,0.2167,GIP
DB00211,C0947912,0.2162,GIP
DB01085,C0015967,0.2162,GIP
DB00996,C0156312,0.2161,GIP
DB00624,C0009088,0.2158,GIP
DB00658,C0156312,0.2154,GIP
DB06637,C0236000,0.2153,GIP
DB01020,C0033893,0.2144,GIP
DB00851,C0003962,0.2141,GIP
DB00490,C0151480,0.214,GIP
DB09110,C0265294,0.2139,GIP
DB00262,C0033578,0.2137,GIP
DB00459,C0009088,0.2136,GIP
DB00331,C0028754,0.2134,GIP
DB00395,C0033578,0.2134,GIP
DB06698,C0025312,0.2134,GIP
DB00572,C0947912,0.213,GIP
DB09076,C0576093,0.2124,GIP
DB00731,C0009088,0.2124,GIP
DB00859,C0236024,0.2122,GIP
DB01188,C2711227,0.2117,GIP
DB00743,C0151480,0.2116,GIP
DB00531,C0034212,0.2112,GIP
DB00190,C0009088,0.21100000000000002,GIP
DB06637,C0033117,0.2101,GIP
DB00243,C0033893,0.2101,GIP
DB09110,C0156312,0.2094,GIP
DB01241,C0235439,0.2094,GIP
DB09041,C0018916,0.2084,GIP
DB04572,C0338480,0.2081,GIP
DB00282,C0028081,0.2079,GIP
DB06700,C0009088,0.2075,GIP
DB00741,C0947912,0.2073,GIP
DB01189,C0006625,0.2073,GIP
DB00583,C0026827,0.2072,GIP
DB06594,C0236024,0.207,GIP
DB00597,C0271321,0.2069,GIP
DB01213,C0037301,0.2067,GIP
DB00501,C0025323,0.2064,GIP
DB01189,C0030521,0.2064,GIP
DB00746,C0376358,0.2061,GIP
DB00440,C2711227,0.2059,GIP
DB00181,C0236024,0.2059,GIP
DB09110,C0029191,0.2058,GIP
DB00863,C0025312,0.2057,GIP
