Drug1,Drug2,Prob,Method
DB01213,C0031154,0.5111,LapRLS
DB00316,C0014591,0.5104,LapRLS
DB11180,C0011991,0.5079,LapRLS
DB00125,C0043352,0.5074,LapRLS
DB00753,C0009676,0.507,LapRLS
DB00478,C0020649,0.5064,LapRLS
DB11180,C0014591,0.5056,LapRLS
DB06698,C0008031,0.5054,LapRLS
DB00658,C0008370,0.5043,LapRLS
DB00859,C0917801,0.5042,LapRLS
DB00828,C0042963,0.5017,LapRLS
DB00316,C0030305,0.5014,LapRLS
DB01080,C0043352,0.5009,LapRLS
DB11180,C1456784,0.5,LapRLS
DB04572,C0000731,0.498,LapRLS
DB04572,C0020456,0.4974,LapRLS
DB00727,C0423791,0.495,LapRLS
DB11180,C0030305,0.4932,LapRLS
DB00583,C0043352,0.4929,LapRLS
DB00828,C0080274,0.4913,LapRLS
DB11180,C0041657,0.4905,LapRLS
DB00753,C0042963,0.4902,LapRLS
DB00658,C0041834,0.4884,LapRLS
DB00658,C0019158,0.4881,LapRLS
DB00316,C0002962,0.4867,LapRLS
DB06698,C0424295,0.4855,LapRLS
DB01236,C0424295,0.4855,LapRLS
DB00720,C0014591,0.4849,LapRLS
DB00659,C2830004,0.4848,LapRLS
DB00431,C0020456,0.4845,LapRLS
DB00753,C0011168,0.4838,LapRLS
DB00316,C0011168,0.4834,LapRLS
DB00828,C0020651,0.4815,LapRLS
DB01236,C0020651,0.4815,LapRLS
DB00658,C0162297,0.4812,LapRLS
DB00859,C0008031,0.4804,LapRLS
DB00753,C0424295,0.4775,LapRLS
DB00125,C0917801,0.4767,LapRLS
DB00828,C0014591,0.4761,LapRLS
DB06261,C0030305,0.4757,LapRLS
DB01008,C0030252,0.4755,LapRLS
DB00720,C0085649,0.4751,LapRLS
DB01213,C0011991,0.4748,LapRLS
DB00431,C0080274,0.4733,LapRLS
DB00727,C0232461,0.4716,LapRLS
DB00720,C0020651,0.4711,LapRLS
DB06698,C0014591,0.4705,LapRLS
DB00828,C0232461,0.4703,LapRLS
DB01043,C0043352,0.469,LapRLS
DB00727,C0080274,0.469,LapRLS
DB06698,C0085631,0.4675,LapRLS
DB00597,C0002962,0.4674,LapRLS
DB00828,C0030193,0.4672,LapRLS
DB00316,C1456784,0.467,LapRLS
DB00859,C0042109,0.4665,LapRLS
DB00720,C0013604,0.4663,LapRLS
DB01008,C1456784,0.4657,LapRLS
DB00727,C0013604,0.4645,LapRLS
DB00720,C1456784,0.46299999999999997,LapRLS
DB00753,C0030305,0.4627,LapRLS
DB00720,C0030193,0.4618,LapRLS
DB01019,C0015230,0.4616,LapRLS
DB00828,C1456784,0.4613,LapRLS
DB00316,C0034065,0.461,LapRLS
DB00828,C0030305,0.4606,LapRLS
DB11180,C0011168,0.4602,LapRLS
DB00720,C0018965,0.4583,LapRLS
DB00316,C0039070,0.45799999999999996,LapRLS
DB06151,C0232461,0.4578,LapRLS
DB00478,C0013404,0.4576,LapRLS
DB00753,C1456784,0.4576,LapRLS
DB06261,C0043352,0.4572,LapRLS
DB00828,C0424295,0.456,LapRLS
DB00125,C0008031,0.4552,LapRLS
DB00125,C0015230,0.4551,LapRLS
DB00125,C0042963,0.4548,LapRLS
DB00753,C0423791,0.4544,LapRLS
DB00316,C0040822,0.45399999999999996,LapRLS
DB00828,C0040264,0.4529,LapRLS
DB00720,C0040264,0.4524,LapRLS
DB00125,C0020649,0.4513,LapRLS
DB00659,C0085649,0.4506,LapRLS
DB06698,C0030193,0.4503,LapRLS
DB00658,C0231528,0.4497,LapRLS
DB00727,C0020456,0.4497,LapRLS
DB00828,C0085649,0.4496,LapRLS
DB00720,C0424295,0.4494,LapRLS
DB11180,C0151798,0.4494,LapRLS
DB00659,C0151798,0.4488,LapRLS
DB00828,C0040822,0.4478,LapRLS
DB01043,C0002792,0.4471,LapRLS
DB01236,C0392525,0.4468,LapRLS
DB00753,C0041657,0.4467,LapRLS
DB01019,C0015967,0.4461,LapRLS
DB00720,C0018790,0.4452,LapRLS
DB06261,C0009676,0.444,LapRLS
DB00720,C0151798,0.4439,LapRLS
DB00313,C0013604,0.4435,LapRLS
DB06698,C0423791,0.4429,LapRLS
DB00431,C0424295,0.4429,LapRLS
DB11180,C0026826,0.4428,LapRLS
DB00316,C0012569,0.4413,LapRLS
DB00828,C0085631,0.4412,LapRLS
DB00130,C0423791,0.4404,LapRLS
DB00431,C0085631,0.4401,LapRLS
DB06261,C0232461,0.4394,LapRLS
DB00859,C0002792,0.4394,LapRLS
DB11180,C0085632,0.4386,LapRLS
DB00316,C0043094,0.4385,LapRLS
DB00478,C0002792,0.4385,LapRLS
DB06261,C0013604,0.4384,LapRLS
DB00753,C3665386,0.43799999999999994,LapRLS
DB01236,C0033975,0.43799999999999994,LapRLS
DB06698,C0033975,0.4369,LapRLS
DB06261,C1456784,0.4369,LapRLS
DB06698,C3665386,0.4353,LapRLS
DB01008,C0424295,0.4353,LapRLS
DB01008,C0002962,0.4349,LapRLS
DB00753,C0026826,0.4344,LapRLS
DB06261,C0030193,0.4341,LapRLS
DB01236,C3665386,0.4339,LapRLS
DB11180,C0018790,0.4338,LapRLS
DB00659,C0026826,0.4336,LapRLS
DB00431,C0030305,0.4335,LapRLS
DB11180,C0023530,0.4333,LapRLS
DB01236,C0004604,0.4328,LapRLS
DB00316,C0018790,0.4324,LapRLS
DB00727,C0009676,0.4321,LapRLS
DB01008,C0020651,0.43200000000000005,LapRLS
